epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,4309.13,0.45998,0.73265,0.7103,0.97835,0.84009,0.84219,0.88656,0.83058,0.84009,0.84219,0.88651,0.78484,0.37832,0.63161,0.50023,0.88837,0.000597718,0.000597718,0.000597718
30,4450.24,0.46205,0.73234,0.72299,0.97592,0.8427,0.8876,0.91084,0.85066,0.84495,0.88627,0.90988,0.81126,0.38484,0.62697,0.4837,0.89086,0.000579386,0.000579386,0.000579386
31,4606.47,0.45411,0.72173,0.68574,0.96911,0.86846,0.85508,0.90332,0.84604,0.86846,0.85508,0.90296,0.80261,0.36957,0.63449,0.48786,0.8684,0.000561055,0.000561055,0.000561055
32,4758.34,0.45662,0.71187,0.69498,0.97029,0.8618,0.85128,0.90025,0.8449,0.8618,0.85128,0.90146,0.80318,0.36896,0.63133,0.49145,0.87697,0.000542723,0.000542723,0.000542723
33,4910.71,0.45372,0.71738,0.67207,0.9668,0.83592,0.87397,0.90812,0.85443,0.83592,0.87397,0.90897,0.81688,0.37677,0.5795,0.45802,0.88308,0.000524392,0.000524392,0.000524392
34,5063.75,0.44023,0.68329,0.67106,0.96155,0.89553,0.83045,0.91003,0.85175,0.89553,0.83045,0.90974,0.82213,0.37527,0.56862,0.4931,0.87848,0.00050606,0.00050606,0.00050606
35,5207.95,0.44247,0.69171,0.65544,0.96021,0.88596,0.87157,0.90587,0.84287,0.88596,0.87157,0.905,0.80927,0.38504,0.63195,0.47992,0.87915,0.000487729,0.000487729,0.000487729
36,5349.98,0.44558,0.69936,0.65782,0.96706,0.85218,0.89252,0.91697,0.86176,0.85222,0.89359,0.91651,0.82355,0.37696,0.60924,0.44792,0.87245,0.000469397,0.000469397,0.000469397
37,5501.6,0.43202,0.68231,0.63507,0.95638,0.86306,0.87984,0.9048,0.85285,0.86306,0.87984,0.9065,0.81239,0.36808,0.60416,0.44804,0.87345,0.000451066,0.000451066,0.000451066
38,5652.87,0.43435,0.67038,0.63954,0.95322,0.84067,0.87907,0.89969,0.84374,0.84067,0.87907,0.89996,0.80818,0.37178,0.62892,0.47105,0.87524,0.000432734,0.000432734,0.000432734
39,5804.44,0.43163,0.66227,0.62876,0.95126,0.87864,0.85962,0.91419,0.86335,0.87864,0.85962,0.91426,0.82573,0.35852,0.59666,0.44638,0.8661,0.000414403,0.000414403,0.000414403
40,5955.92,0.42739,0.66545,0.61549,0.95381,0.87275,0.83875,0.91006,0.86266,0.86407,0.84209,0.91121,0.82633,0.35327,0.59229,0.43591,0.86555,0.000396071,0.000396071,0.000396071
41,6096.65,0.4229,0.65185,0.61639,0.94995,0.87242,0.87592,0.90466,0.85653,0.87242,0.87592,0.90439,0.82142,0.36117,0.60139,0.46558,0.87354,0.00037774,0.00037774,0.00037774
42,6238.95,0.42085,0.64829,0.59768,0.94728,0.87129,0.91159,0.91787,0.86667,0.87129,0.91159,0.91818,0.82321,0.35447,0.55706,0.41593,0.85853,0.000359409,0.000359409,0.000359409
43,6385.7,0.41831,0.64564,0.60204,0.94444,0.85185,0.90378,0.91861,0.87518,0.85052,0.89448,0.91886,0.8255,0.35022,0.62078,0.43991,0.86027,0.000341077,0.000341077,0.000341077
44,6543.71,0.41263,0.62386,0.57768,0.94152,0.84654,0.89515,0.9183,0.8681,0.84654,0.89515,0.91843,0.82574,0.35208,0.61033,0.40872,0.85571,0.000322745,0.000322745,0.000322745
45,6685.8,0.40987,0.62122,0.57517,0.93886,0.87774,0.88296,0.91244,0.86522,0.87774,0.88296,0.91336,0.82124,0.35169,0.61429,0.42799,0.8597,0.000304414,0.000304414,0.000304414
46,6836.99,0.4122,0.62425,0.57267,0.94654,0.86989,0.90145,0.92078,0.86903,0.86989,0.90145,0.92078,0.83108,0.35041,0.59768,0.41502,0.86123,0.000286083,0.000286083,0.000286083
47,6980,0.40601,0.61413,0.56504,0.94027,0.86284,0.91949,0.92698,0.88151,0.86196,0.9148,0.92473,0.84363,0.34851,0.54788,0.38924,0.85179,0.000267751,0.000267751,0.000267751
48,7122.86,0.40105,0.59782,0.56474,0.93655,0.84965,0.94161,0.93285,0.89031,0.84965,0.94161,0.93332,0.85639,0.34594,0.55785,0.39258,0.85696,0.00024942,0.00024942,0.00024942
49,7275.48,0.39477,0.5987,0.55084,0.93214,0.88745,0.89578,0.92938,0.88661,0.88745,0.89578,0.92821,0.84247,0.35014,0.59974,0.39721,0.86095,0.000231088,0.000231088,0.000231088
50,7427.47,0.39366,0.58709,0.54838,0.93094,0.87232,0.9008,0.92997,0.88456,0.87232,0.9008,0.9307,0.8463,0.34812,0.58439,0.39139,0.85903,0.000212757,0.000212757,0.000212757
51,7567.54,0.31387,0.5115,0.32593,0.89521,0.85175,0.91215,0.9162,0.87035,0.85175,0.91215,0.91608,0.83342,0.35325,0.68624,0.41466,0.87323,0.000194425,0.000194425,0.000194425
52,7703.23,0.30756,0.47879,0.28808,0.8933,0.8664,0.92122,0.9232,0.87793,0.8664,0.92122,0.92428,0.84477,0.34532,0.55789,0.40303,0.86521,0.000176094,0.000176094,0.000176094
53,7858.36,0.30635,0.46659,0.28081,0.89383,0.87659,0.89084,0.91895,0.87329,0.87659,0.89084,0.91895,0.83577,0.35249,0.60963,0.43396,0.86292,0.000157762,0.000157762,0.000157762
54,7993.55,0.29988,0.46339,0.2659,0.88647,0.86717,0.91001,0.92998,0.88594,0.86717,0.91001,0.92998,0.84767,0.34445,0.6075,0.37998,0.85915,0.000139431,0.000139431,0.000139431
55,8127.65,0.29373,0.44632,0.2591,0.88692,0.87708,0.91611,0.93818,0.89842,0.87708,0.91611,0.93818,0.85843,0.33661,0.56942,0.37443,0.85121,0.000121099,0.000121099,0.000121099
56,8269.42,0.29113,0.44505,0.24951,0.88338,0.89974,0.89048,0.92599,0.8841,0.89974,0.89048,0.92771,0.85197,0.33452,0.53707,0.37868,0.85012,0.000102768,0.000102768,0.000102768
57,8407.56,0.28802,0.4364,0.23862,0.87594,0.91646,0.88052,0.93098,0.88983,0.91646,0.88052,0.92906,0.85218,0.33494,0.57199,0.36952,0.84784,8.4436e-05,8.4436e-05,8.4436e-05
58,8544.09,0.28835,0.43525,0.24224,0.88574,0.90642,0.8927,0.93171,0.89079,0.90642,0.8927,0.93118,0.85793,0.33679,0.55003,0.37986,0.84762,6.61045e-05,6.61045e-05,6.61045e-05
59,8680.55,0.28179,0.42215,0.22042,0.87261,0.87505,0.91885,0.93021,0.89123,0.876,0.92048,0.93172,0.85338,0.33427,0.56086,0.38243,0.84765,4.7773e-05,4.7773e-05,4.7773e-05
60,8831.11,0.2773,0.41726,0.21968,0.87434,0.89433,0.90506,0.93184,0.89499,0.89433,0.90506,0.93335,0.85639,0.33062,0.56012,0.37594,0.84666,2.94415e-05,2.94415e-05,2.94415e-05
